dataset_name,task_name,train_index,f1_score,R@10,R@20,R@30,R@40,persistent@10,persistent@20,persistent@30,persistent@40,emerging@10,emerging@20,emerging@30,emerging@40
mimic4,m,25,0.247708774,0.302932965,0.387086825,0.439309451,0.480000298,0.21145331,0.241998642,0.258081904,0.268524274,0.091479656,0.145088183,0.181227547,0.211476024
mimic4,m,50,0.248799349,0.305466065,0.386333882,0.439787939,0.481057387,0.21231944,0.242548257,0.258252007,0.268333873,0.093146625,0.143785625,0.181535932,0.212723514
mimic4,m,75,0.249158382,0.30498542,0.387256941,0.439891525,0.482139301,0.212132457,0.242775135,0.258486661,0.268346632,0.092852963,0.144481806,0.181404865,0.213792669
mimic4,m,100,0.249172644,0.304771687,0.387405384,0.439782987,0.482507097,0.212078022,0.242759645,0.258703411,0.268219778,0.092693665,0.144645738,0.181079576,0.214287319
mimic3,m,25,0.225972361,0.281422632,0.373746411,0.439524837,0.488322466,0.176688321,0.204102441,0.223084893,0.234665119,0.104734311,0.16964397,0.216439944,0.253657347
mimic3,m,50,0.227798177,0.283743204,0.376090159,0.438838392,0.487113629,0.1775522,0.205103478,0.222707648,0.233904688,0.106191004,0.170986681,0.216130745,0.253208941
mimic3,m,75,0.228170351,0.283962791,0.375678342,0.439103616,0.487717851,0.177434722,0.204978981,0.222645925,0.234762235,0.10652807,0.170699361,0.216457691,0.252955616
mimic3,m,100,0.228596595,0.283944964,0.375615581,0.439262803,0.488495189,0.177168715,0.205085259,0.222797638,0.234887507,0.106776249,0.170530322,0.216465165,0.253607681
